date_collected,time,site_name,site_code,subsite_name,lon,lat,salinity,temp,depth_sample (m),depth_bottom_m,collector,field_label,lab_label,notes_field
2014-06-29,12:05:00,Pipers Creek,PCM,NA,-122.38292,47.71064,29,14,,,,20140629 Pretide,PCB-0629-1205,
2014-06-29,14:00:00,Pipers Creek,PCM,NA,-122.38292,47.71064,28,14,,,,20140629 Posttide,PCB-0629-1400,
2014-06-27,10:35:00,Pipers Creek,PCM,north,-122.4189088,47.74005288,NA,12,1,,JOD,0149,PCT-N4000,near drift line and shipping lane
2014-06-27,10:40:00,Pipers Creek,PCM,north,-122.3984387,47.72850982,NA,12,1,,JOD,0150,PCT-N2000,near ORCA buoy
2014-06-27,,Pipers Creek,PCM,north,-122.3882071,47.72273692,NA,NA,1,,JOD,0151,PCT-N1000,
2014-06-27,,Pipers Creek,PCM,north,-122.3830921,47.71985014,NA,NA,1,,JOD,0152,PCT-N500,
2014-06-27,,Pipers Creek,PCM,north,-122.3805348,47.71840666,NA,HOBO broke,1,,JOD,0153,PCT-N250,
2014-06-27,,Pipers Creek,PCM,north,-122.3792563,47.71768489,NA,HOBO broke,1,,JOD,0154,PCT-N125,
2014-06-27,,Pipers Creek,PCM,north,-122.3787448,47.71739619,NA,HOBO broke,1,,JOD,0155,PCT-N75,
2014-06-27,,Pipers Creek,PCM,north,-122.3779777,47.71696312,NA,HOBO broke,1,,JOD,0157,PCT-N0,
2014-06-27,1030,Pipers Creek,PCM,central,-122.4248772,47.73409514,NA,13,1,,JOD,0158,PCT-C4000,near drift line and shipping lane
2014-06-27,1047,Pipers Creek,PCM,central,-122.4044095,47.72255208,NA,13.5,1,,JOD,0159,PCT-C2000,near ORCA buoy
2014-06-27,,Pipers Creek,PCM,central,-122.394179,47.71677918,NA,13.5,1,,JOD,0160,PCT-C1000,
2014-06-27,,Pipers Creek,PCM,central,-122.3890646,47.71389239,NA,13.5,1,,JOD,0161,PCT-C500,
2014-06-27,,Pipers Creek,PCM,central,-122.3865076,47.71244891,NA,13.5,1,,JOD,0162,PCT-C250,
2014-06-27,,Pipers Creek,PCM,central,-122.3852292,47.71172715,NA,13,1,,JOD,0163,PCT-C125,
2014-06-27,,Pipers Creek,PCM,central,-122.3847178,47.71143844,NA,13,1,,JOD,0164,PCT-C75,
2014-06-27,,Pipers Creek,PCM,central,-122.3839508,47.71100538,NA,14,1,,JOD,0166,PCT-C0,
2014-06-27,1025,Pipers Creek,PCM,south,-122.4302119,47.72787131,NA,13,1,,JOD,0167,PCT-S4000,near drift line and shipping lane
2014-06-27,1052,Pipers Creek,PCM,south,-122.4097466,47.71632824,NA,13,1,,JOD,0168,PCT-S2000,near ORCA buoy
2014-06-27,,Pipers Creek,PCM,south,-122.3995173,47.71055535,NA,14,1,,JOD,0169,PCT-S1000,
2014-06-27,,Pipers Creek,PCM,south,-122.3944036,47.70766856,NA,13.7,1,,JOD,0170,PCT-S500,
2014-06-27,,Pipers Creek,PCM,south,-122.3918469,47.70622508,NA,13,1,,JOD,0171,PCT-S250,
2014-06-27,,Pipers Creek,PCM,south,-122.3905686,47.70550332,NA,13,1,,JOD,0172,PCT-S125,
2014-06-27,,Pipers Creek,PCM,south,-122.3900573,47.70521461,NA,13,1,,JOD,0173,PCT-S75,
2014-06-27,,Pipers Creek,PCM,south,-122.3892904,47.70478154,NA,"""13""",1,,JOD,0175,PCT-S0,
2014-06-27,0940,Pipers Creek,PCM,south,,,,12,,,ACS/AOS,"bottle ""2"" -Zm1",PCM-Z1,"""pre tow"""
2014-06-27,0945,Pipers Creek,PCM,south,,,,12,,,ACS/AOS,3,PCM-S1,"""pre tow"""
2014-06-27,1115,Pipers Creek,PCM,center,,,,14,,,ACS/AOS,"""center sand 4Zm""",PCM-S2,"""post tow"""
2014-06-27,1112,Pipers Creek,PCM,center,,,,13.5,,,ACS/AOS,"""5 sand""",PCM-Z2,"""post tow"""
2014-06-27,1105,Pipers Creek,PCM,north,,,,13,,,ACS/AOS,"""6Zm""",PCM-Z3,"""pre tow"""
2014-06-27,1110,Pipers Creek,PCM,north,,,,13,,,ACS/AOS,"""7 sand""",PCM-S3,"""pre tow"""
2014-06-27,09:35:00,Pipers Creek,PCM,NA,-122.38292,47.71064,,13,,,RPK,1,PCB-0627-0935,
2014-06-27,11:20:00,Pipers Creek,PCM,NA,-122.38292,47.71064,,13,,,RPK,buoy 1120,PCB-0627-1120,
2014-06-27,12:15:00,Pipers Creek,PCM,NA,-122.38292,47.71064,,13,,,RPK,buoy 1215,PCB-0627-1215,
2014-06-27,13:00:00,Pipers Creek,PCM,NA,-122.38292,47.71064,,13,,,JOD,buoy1pm,PCB-0627-1300,
2014-06-26,09:30:00,Pipers Creek,PCM,NA,-122.38292,47.71064,NA,12,1,est 1.5,JOD/RPK,1,PCB-0626-0930,Pipers Creek Buoy
2014-06-26,10:30:00,Pipers Creek,PCM,NA,-122.38292,47.71064,28,12.5,est. 0.5-0.75,est. 0.5-0.75,JOD/RPK,2,PCB-0626-1030,Pipers Creek Buoy
2014-06-26,11:30:00,Pipers Creek,PCM,NA,-122.38292,47.71064,30,13,est. 0.5-0.75,est. 0.5-0.75,JOD/RPK,3,PCB-0626-1130,
2014-06-26,12:30:00,Pipers Creek,PCM,NA,-122.38292,47.71064,32,12,1,1,JOD/RPK,4,PCB-0626-1230,
2014-06-26,13:30:00,Pipers Creek,PCM,NA,-122.38292,47.71064,31,12,1,1.5,JOD/RPK,5,PCB-0626-1330,can't go deeper- up to waders
