date_collected,time,site_name,site_code,subsite_name,lon,lat,salinity,temp,depth_sample (m),depth_bottom_m,collector,field_label,lab_label,notes_field
6/29/14,12:05:00,Pipers Creek,PCM,NA,-122.38292,47.71064,29,14,,,,20140629 Pretide,PCB-0629-1205,
6/29/14,14:00:00,Pipers Creek,PCM,NA,-122.38292,47.71064,28,14,,,,20140629 Posttide,PCB-0629-1400,
6/27/14,10:35:00,Pipers Creek,PCM,north,-122.4189088,47.74005288,NA,12,1,,JOD,149,PCT-N4000,near drift line and shipping lane
6/27/14,10:40:00,Pipers Creek,PCM,north,-122.3984387,47.72850982,NA,12,1,,JOD,150,PCT-N2000,near ORCA buoy
6/27/14,,Pipers Creek,PCM,north,-122.3882071,47.72273692,NA,NA,1,,JOD,151,PCT-N1000,
6/27/14,,Pipers Creek,PCM,north,-122.3830921,47.71985014,NA,NA,1,,JOD,152,PCT-N500,
6/27/14,,Pipers Creek,PCM,north,-122.3805348,47.71840666,NA,HOBO broke,1,,JOD,153,PCT-N250,
6/27/14,,Pipers Creek,PCM,north,-122.3792563,47.71768489,NA,HOBO broke,1,,JOD,154,PCT-N125,
6/27/14,,Pipers Creek,PCM,north,-122.3787448,47.71739619,NA,HOBO broke,1,,JOD,155,PCT-N75,
6/27/14,,Pipers Creek,PCM,north,-122.3779777,47.71696312,NA,HOBO broke,1,,JOD,157,PCT-N0,
6/27/14,1030,Pipers Creek,PCM,central,-122.4248772,47.73409514,NA,13,1,,JOD,158,PCT-C4000,near drift line and shipping lane
6/27/14,1047,Pipers Creek,PCM,central,-122.4044095,47.72255208,NA,13.5,1,,JOD,159,PCT-C2000,near ORCA buoy
6/27/14,,Pipers Creek,PCM,central,-122.394179,47.71677918,NA,13.5,1,,JOD,160,PCT-C1000,
6/27/14,,Pipers Creek,PCM,central,-122.3890646,47.71389239,NA,13.5,1,,JOD,161,PCT-C500,
6/27/14,,Pipers Creek,PCM,central,-122.3865076,47.71244891,NA,13.5,1,,JOD,162,PCT-C250,
6/27/14,,Pipers Creek,PCM,central,-122.3852292,47.71172715,NA,13,1,,JOD,163,PCT-C125,
6/27/14,,Pipers Creek,PCM,central,-122.3847178,47.71143844,NA,13,1,,JOD,164,PCT-C75,
